Лiневiча Яраслава Львовiча
Маслака Аляксандра Мiхайлавiча
Меднікава Iгара Пятровiча
Мельнікава Андрэя Аляксандравiча
Мілічэнку Сяргея Iванавiча
Міненку Сяргея Iванавiча
Мінько Мiкалая Аляксеевiча
Міхайлава Сяргея Iванавiча
Моніча Аляксандра Ягоравiча
Мудрацова Аляксандра Пятровiча
Музычку Андрэя Мiкалаевiча
Муху Аляксандра Мiкалаевiча
Мяцельскага Яўгена Валер’евiча
Навахацкага Дзянiса Сяргеевiча
Навоя Дзмiтрыя Валер’евiча
Напрэенку Алега Вiктаравiча
Нахая Сяргея Андрэевiча
Некрашэвіча Валерыя Рыгоравiча
Новік Наталлю Мiкалаеўну
Нядбайлава Уладзiмiра Мiкалаевiча
Нялепку Iвана Iванавiча
Пабудзея Руслана Анатолевiча
Пабяржына Анатоля Пятровiча
Палеева Iгара Анатольевiча
Палын Марыю Мiкалаеўну
Паркова Дзмiтрыя Iванавiча
Пархамовіча Уладзiмiра Генадзьевiча
Пасечнага Аляксея Вiтальевiча
Пекарскага Генадзiя Iванавiча
Пекарскага Федара Вiктаравiча
Пеха Андрэя Вячаслававiча
Піцко Аляксандра Iосiфавiча
Платоненку Сяргея Вiктаравiча
Плыгаўку Аляксандра Веньямiнавiча
Прозарава Алега Аляксеевiча
Прорашнева Уладзiмiра Мiкалаевiча
Протаса Святаслава Казiмiравiча
Прыстаўку Уладзiмiра Iванавiча
Прышчэпа Генадзiя Антонавiча
Ракава Iгара Мiкалаевiча
Ралаўца Анатолiя Анатольевiча
Раслякову Iну Iванаўну
Рубана Юрыя Мiхайлавiча
Русага Уладзiмiра Сямёнавiча
Русака Аляксандра Вiктаравiча
Русака Iвана Мікалаевіча
Рыбака Сяргея Вячаслававiча
Рэпенку Андрэя Леанiдавiча
Рэута Алега Георгiевiча
Сайко Вячаслава Мiхайлавiча
Саўчыка Сяргея Федаравiча
Свейко Андрэя Аляксандравiча
Свірыдовіча Вячаслава Аляксандравiча
Семяніхіна Сяргея Юр’евiча
Семянца Уладзiмiра Дзям’янавiча
Сідаркевіча Генадзiя Эдуардавiча
Сіліну Ілону Уладзiмiраўну
Скуратава Iгара Анатольевiча
Слонімскага Аляксандра Iванавiча
Солтана Уладзiмiра Лявонцьевіча
Спірыдовіча Мiкалая Валянцiнавiча
Старавойтава Сяргея Мiкалаевiча
Стасюкевіча Вiталiя Iванавiча
Страмужэўскага Аляксандра Рыгоравiча
Субцэльнага Аляксандра Мiхайлавiча
Сяргеева Сяргея Юр’евiча
Табуркіна Андрэя Валер’евiча
Татура Дзмiтрыя Эдуардавiча
Трахімчыка Сяргея Мiкалаевiча
Трубачова Алега Валер’евiча
Трыпуцень Аксану Васiльеўну
Тулікава Аляксандра Вiктаравiча
Туманава Аляксандра Аляксандравiча
Удота Юрыя Вiтальевiча
Усціновіча Вадзiма Вiктаравiча
Філіпава Андрэя Iванавiча
Фурманава Iгара Сяргеевiча
Харашкевіча Андрэя Аляксандравiча
Хвешчука Iгара Iванавiча
Хіхіча Алега Генадзьевiча
Хіхіча Уладзiмiра Генадзьевiча
Хутарцова Сяргея Георгiевiча
Церашчука Руслана Васiльевiча
Ціхіню Уладзiмiра Яўгенавiча
Цыруля Вiталiя Анатольевiча
Цэрыбку Аляксандра Леанiдавiча
Чаплінскага Сяргея Мiкалаевiча
Чапулёнка Дзмiтрыя Мiхайлавiча
Чумакова Уладзiмiра Анатольевiча
Шакеля Алега Iосiфавiча
Шамярдзея Аляксандра Мiкалаевiча
Шарко Андрэя Уладзiмiравiча
Шатохіна Аляксея Мiкалаевiча
Штрапава Аляксандра Валянцiнавiча
Шульга Ганну Мiхайлаўну
Шчуку Анатолiя Анатольевiча
Шыка Дзянiса Паўлавіча
Шыманскага Аляксандра Васiльевiча
Шэлеста Вiталiя Вiтальевiча
Шэўкунова Мiхаiла Вiктаравiча
Юшкевіча Вiталiя Мiкалаевiча
Яскаўца Валерыя Рыгоравiча
Вараб’ёва Юрыя Мiкалаевiча
«Аршанская аўтамабiльная школа» рэспублiканскага дзяржаўна-грамадскага аб’яднання «Добраахвотнае таварыства садзейнiчання армii, авiяцыi i флоту Рэспублiкi Беларусь»
Iванаўскую раённую арганiзацыйную структуру рэспублiканскага дзяржаўна-грамадскага аб’яднання «Добраахвотнае таварыства садзейнiчання армii, авiяцыi i флоту Рэспублiкi Беларусь»
Брайчука Мiкалая Уладзiмiравiча
Красікава Уладзiмiра Сяргеевiча
Макеева Дзмiтрыя Вiктаравiча
Некраша Юрыя Мар’янавiча
Падупейку Аляксандра Аляксеевiча
Палазніка Вiктара Уладзiмiравiча
Працэнку Сяргея Iванавiча
Шабанава Вячаслава Барысавiча
Аксанчука Мiкалая Рыгоравiча
Александронца Аляксандра Анатольевiча
Брагінца Арнольда Уладзiмiравiча
Васёху Аляксандра Генадзьевiча
Вішнеўскага Аляксандра Аляксеевiча
Галая Iвана Iванавiча
Грыбкова Уладзiмiра Уладзiмiравiча
Жванскага Валерыя Анатольевiча
Казакова Вiктара Мiкалаевiча
Кротава Уладзiмiра Сяргеевiча
Логвіна Вячаслава Мiхайлавiча
Лявонава Уладзiмiра Уладзiмiравiча
Масюкевіча Валерыя Мiкалаевiча
Сачкова Андрэя Вячаслававiча
Свiрыдовiч Алену Герасiмаўну
Слабадзенюка Андрэя Валянцiнавiча
Сырамалота Вiктара Васiльевiча
Хрушчова Iгара Рыгоравiча
Шапецьку Андрэя Мiкалаевiча
Шпартава Леанiда Мiхайлавiча
Шчацiнiна Iгара Генадзьевіча
Агурцова Аляксандра Мiкалаевiча
Алейнікава Iгара Аляксандравiча
Алейнікава Уладзiслава Вiктаравiча
Алефірэнку Леанiда Мiкалаевiча
Антонава Руслана Вiктаравiча
Анюхоўскага Уладзiмiра Алегавiча
Аўдзеева Вiталiя Пятровiча
Ашкіневіча Валерыя Антонавiча
Бабіло Аляксандра Канстанцiнавiча
Бабскага Аляксандра Аляксандравiча
Багамазаву Людмiлу Мiкалаеўну
Багдановіча Дзмiтрыя Валянцiнавiча
Багумінскага Генадзя Вiктаравiча
Бажанкова Мiхаiла Iгаравiча
Бажкова Уладзiмiра Мiкалаевiча
Бандзюка Вячаслава Мiкалаевiча
Барабаша Сяргея Уладзiмiравiча
Барана Аляксандра Васiльевiча
Баранава Дзмiтрыя Мiкалаевiча
Барона Сяргея Iванавiча
Барысава Аляксандра Мiкалаевiча
Барысенку Уладзiмiра Валер’евiча
Батуру Кірыла Алегавiча
Брагiнца Аляксандра Яўгеньевіча
Брэзінскага Вiктара Iосiфавiча
Буйневіча Уладзiмiра Iванавiча
Булгака Уладзiмiра Тамашавіча
Буракова Сяргея Леанiдавiча
Бурдзілаву Тамару Васiльеўну
Вайцяховіча Анатолiя Францавiча
Вашкевіча Уладзiмiра Леанiдавiча
Вітко Уладзiмiра Iльiча
Вішнеўскага Сяргея Мiкалаевiча
Вярэнiча Аляксандра Максімавіча
Галавенчыка Аляксея Анатольевiча
Ганчарова Сяргея Уладзiмiравiча
Гарагляда Сяргея Антонавiча
