fіo,dolzhnost,,,,,,,,,,,regіon
Муліцу Валерыя Іванавіча,"старшага афіцэра 1-й групы аператыўнага аддзела штаба Паўночна-заходняга аператыўнага камандавання Узброеных Сіл, падпалкоўніка",,,,,,,,,,,
Нагавіцына Аляксандра Усеваладавіча,"начальніка штаба – першага намесніка камандзіра 10-га асобнага батальёна радыёэлектроннай барацьбы Паўночна-заходняга аператыўнага камандавання Узброеных Сіл, маёра",,,,,,,,,,,
Науменку Артура Аляксандравіча,"начальніка кафедры ваеннай стратэгіі факультэта Генеральнага штаба Узброеных Сіл установы адукацыі ""Ваенная акадэмія Рэспублікі Беларусь"", палкоўніка",,,,,,,,,,,
Норкуса Андрыуса Рамуалдавіча,"намесніка камандзіра па тылу – начальніка тылу 557-й інжынернай брыгады Заходняга аператыўнага камандавання Узброеных Сіл, падпалкоўніка",,,,,,,,,,,
Панфёрава Аляксандра Іванавіча,"начальніка 2-га ўпраўлення галоўнага ўпраўлення планавання і каардынацыі тылавога забеспячэння Міністэрства абароны, палкоўніка",,,,,,,,,,,
Парчука Аляксандра Васільевіча,"намесніка начальніка галоўнага ўпраўлення – начальніка ўпраўлення планавання і каардынацыі тэхнічнага забеспячэння галоўнага ўпраўлення планавання і каардынацыі тэхнічнага забеспячэння Міністэрства абароны, палкоўніка",,,,,,,,,,,
Парывая Сяргея Вітальевіча,"начальніка службы электрагазавай упраўлення ўзбраення Ваенна-паветраных сіл і войскаў супрацьпаветранай абароны Узброеных Сіл, падпалкоўніка",,,,,,,,,,,
Пестава Дзмітрыя Анатольевіча,"камандзіра 51-й гвардзейскай змешанай артылерыйскай групы Узброеных Сіл, палкоўніка",,,,,,,,,,,
Пузакова Сяргея Валер’евіча,"першага намесніка начальніка галоўнага арганізацыйна-мабілізацыйнага ўпраўлення Генеральнага штаба Узброеных Сіл, палкоўніка",,,,,,,,,,,
Раманоўскага Валерыя Віктаравіча,"начальніка 12-й школы падрыхтоўкі спецыялістаў падраздзяленняў сувязі 72-га гвардзейскага аб’яднанага вучэбнага цэнтра падрыхтоўкі прапаршчыкаў і малодшых спецыялістаў Узброеных Сіл, падпалкоўніка",,,,,,,,,,,
Рудніцкага Андрэя Аляксандравіча,"начальніка разведкі штаба 6-й асобнай гвардзейскай механізаванай брыгады Заходняга аператыўнага камандавання Узброеных Сіл, падпалкоўніка",,,,,,,,,,,
Семяновіча Васілія Васільевіча,"начальніка аддзела баявой падрыхтоўкі Заходняга аператыўнага камандавання Узброеных Сіл, палкоўніка",,,,,,,,,,,
Сінякова Сяргея Аляксандравіча,"намесніка камандзіра па матэрыяльна-тэхнічнаму забеспячэнню 258-га асобнага батальёна аховы і абслугоўвання Паўночна-заходняга аператыўнага камандавання Узброеных Сіл, старшага лейтэнанта",,,,,,,,,,,
Сурава Вадзіма Аляксандравіча,"начальніка 1-й групы аператыўнага аддзела штаба Заходняга аператыўнага камандавання Узброеных Сіл, падпалкоўніка",,,,,,,,,,,
Фалько Аляксандра Анатольевіча,"начальніка штаба – першага намесніка камандзіра 74-га асобнага палка сувязі Заходняга аператыўнага камандавання Узброеных Сіл, падпалкоўніка",,,,,,,,,,,
Чарнабая Андрэя Іванавіча,"намесніка начальніка ўпраўлення – начальніка 1-га аддзела ўпраўлення інфармацыі галоўнага ўпраўлення ідэалагічнай работы Міністэрства абароны, палкоўніка",,,,,,,,,,,
