fіo,dolzhnost,,,,,,,,,,,regіon
Барысенку Вячаслава Рыгоравіча,"начальніка Ельскага раённага аддзела па надзвычайных сітуацыях установы ""Гомельскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", падпалкоўніка ўнутранай службы",,,,,,,,,,,
Болатава Ігара Уладзіміравіча,"начальніка ўпраўлення матэрыяльна-тэхнічнага забеспячэння Міністэрства па надзвычайных сітуацыях, палкоўніка ўнутранай службы",,,,,,,,,,,
Бычка Міхаіла Міхайлавіча,"Барысаўскага міжгарнізоннага ваеннага пракурора, палкоўніка юстыцыі",,,,,,,,,,,
Валынца Алега Анатольевіча,"начальніка службы пагранічнага кантролю аператыўнага ўпраўлення 16-й пагранічнай групы пагранічнай службы, палкоўніка",,,,,,,,,,,
Вярэніча Аляксандра Максімавіча,"начальніка аддзела сувязі і інфармацыйных тэхналогій упраўлення рэжыму і арганізацыйнага забеспячэння 20-га пагранічнага атрада пагранічнай службы, падпалкоўніка",,,,,,,,,,,
Ганчарэнку Сяргея Міхайлавіча,"старшага афіцэра службы галоўнага ўпраўлення рэжыму і арганізацыйнага забеспячэння Дзяржаўнага пагранічнага камітэта, падпалкоўніка",,,,,,,,,,,
Гінько Дзмітрыя Казіміравіча,"начальніка аддзела ідэалагічнай работы ўпраўлення ідэалагічнай работы і кадравага забеспячэння 14-га пагранічнага атрада пагранічнай службы, падпалкоўніка",,,,,,,,,,,
Грабнюка Мікалая Мікалаевіча,"начальніка змены аддзялення пагранічнага кантролю 86-й пагранічнай групы пагранічнай службы, старшага лейтэнанта",,,,,,,,,,,
Грыня Вячаслава Анатольевіча,"начальніка Маладзечанскага гаррайаддзела па надзвычайных сітуацыях установы ""Мінскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", падпалкоўніка ўнутранай службы",,,,,,,,,,,
Грыцанка Уладзіміра Аляксандравіча,"начальніка аддзела арганізацыйнага забеспячэння дзяржаўнай сістэмы папярэджвання і ліквідацыі надзвычайных сітуацый і грамадзянскай абароны ўстановы ""Гомельскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", падпалкоўніка ўнутранай службы",,,,,,,,,,,
Грэбня Эдуарда Паўлавіча,"начальніка аддзела арганізацыі аператыўнага кантролю службы пагранічнага кантролю аператыўнага ўпраўлення 20-га пагранічнага атрада пагранічнай службы, падпалкоўніка",,,,,,,,,,,
Дайлідзёнка Ігара Аляксандравіча,"намесніка начальніка службы пагранічнага кантролю – начальніка аддзела арганізацыі пагранічнага кантролю аператыўнага ўпраўлення 86-й пагранічнай групы пагранічнай службы, падпалкоўніка",,,,,,,,,,,
Дайнеку Міхаіла Міхайлавіча,"начальніка аддзела нарматыўна-тэхнічнай работы і папярэджвання надзвычайных сітуацый установы ""Гомельскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", падпалкоўніка ўнутранай службы",,,,,,,,,,,
Дземчука Юрыя Андрэевіча,"старшага тэхніка аддзялення пагранічнага кантролю 20-га пагранічнага атрада пагранічнай службы, старшага прапаршчыка",,,,,,,,,,,
Драхлова Юрыя Мікалаевіча,"галоўнага інструктара – метадыста галоўнага ўпраўлення ідэалагічнай работы і кадравага забеспячэння Дзяржаўнага пагранічнага камітэта, падпалкоўніка",,,,,,,,,,,
Загародняга Анатолія Мікалаевіча,"старшага пракурора ўпраўлення кадраў і ідэалагічнай работы Генеральнай пракуратуры, саветніка юстыцыі",,,,,,,,,,,
Івалгіну Наталлю Яўгенаўну,"старшага кантралёра аддзялення пагранічнага кантролю аддзела пагранічнага кантролю атрада пагранічнага кантролю ""Мінск"" пагранічнай службы, старшага прапаршчыка",,,,,,,,,,,
Каваленку Ігара Уладзіміравіча,"начальніка аддзела галоўнага ўпраўлення ідэалагічнай работы і кадравага забеспячэння Дзяржаўнага пагранічнага камітэта, падпалкоўніка",,,,,,,,,,,
Каляснёва Уладзіміра Васільевіча,"начальніка аддзела ўпраўлення Дзяржаўнага пагранічнага камітэта, падпалкоўніка",,,,,,,,,,,
Кантаровіча Аляксандра Ігаравіча,"намесніка камандзіра авіяцыйнага атрада па інжынерна-авіяцыйнай службе – бартавога авіяцыйнага інжынера-інструктара – начальніка інжынерна-авіяцыйнага аддзела асобнага авіяцыйнага атрада пагранічнай службы, падпалкоўніка",,,,,,,,,,,
Кармазіна Паўла Мікалаевіча,"намесніка начальніка ўстановы ""Рэспубліканскі цэнтр тылавога забеспячэння"" Міністэрства па надзвычайных сітуацыях, падпалкоўніка ўнутранай службы",,,,,,,,,,,
Качур Алу Віктараўну,"першага намесніка начальніка ўпраўлення фінансавай і эканамічнай работы Міністэрства па надзвычайных сітуацыях, падпалкоўніка ўнутранай службы",,,,,,,,,,,
Куліпу Сяргея Лявонцьевіча,"начальніка службы – намесніка начальніка аператыўнага ўпраўлення 86-й пагранічнай групы пагранічнай службы, падпалкоўніка",,,,,,,,,,,
Лапановіча Сяргея Васільевіча,"першага намесніка начальніка ўстановы ""Мінскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", падпалкоўніка ўнутранай службы",,,,,,,,,,,
Лявонава Сяргея Мікалаевіча,"намесніка начальніка ўстановы ""Гродзенскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", палкоўніка ўнутранай службы",,,,,,,,,,,
Ляшука Алега Аляксандравіча,"начальніка службы пагранічнага кантролю аператыўнага ўпраўлення 19-й пагранічнай групы пагранічнай службы, палкоўніка",,,,,,,,,,,
Макарэвіча Уладзіміра Міхайлавіча,"старшыну цэнтра рухомых сродкаў сувязі цэнтральнага вузла сувязі пагранічнай службы, старшага прапаршчыка",,,,,,,,,,,
Марозава Віктара Мікалаевіча,"пракурора Гродзенскай вобласці, дзяржаўнага саветніка юстыцыі 3 класа",,,,,,,,,,,
Мірончыка Аляксандра Сяргеевіча,"пракурора аддзела дзяржаўнага абвінавачання і касацыйнай вытворчасці ўпраўлення Генеральнай пракуратуры па нагляду за адпаведнасцю закону судовых пастаноў па крымінальных справах, саветніка юстыцыі",,,,,,,,,,,
Наскевіча Івана Данілавіча,"пракурора Брэсцкай вобласці, старшага саветніка юстыцыі",,,,,,,,,,,
Пракапчук Ларысу Юр’еўну,"старшага кантралёра аддзялення пагранічнага кантролю аддзела пагранічнага кантролю атрада пагранічнага кантролю ""Мінск"" пагранічнай службы, старшага прапаршчыка",,,,,,,,,,,
Прудчанку Аляксандра Віктаравіча,"намесніка начальніка ўпраўлення галоўнага ўпраўлення матэрыяльна-тэхнічнага забеспячэння Дзяржаўнага пагранічнага камітэта, падпалкоўніка",,,,,,,,,,,
Радзько Пятра Сцяпанавіча,"намесніка начальніка ўпраўлення Генеральнай пракуратуры па нагляду за выкананнем заканадаўства Следчым камітэтам, старшага саветніка юстыцыі",,,,,,,,,,,
Саенку Аляксандра Аляксандравіча,"старшага пракурора арганізацыйна-інспектарскага ўпраўлення Генеральнай пракуратуры, старшага саветніка юстыцыі",,,,,,,,,,,
Салодкіна Руслана Анатольевіча,"начальніка пажарнага аварыйна-выратавальнага атрада ўстановы ""Віцебскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", падпалкоўніка ўнутранай службы",,,,,,,,,,,
Сароку Віталія Анатольевіча,"начальніка юрыдычнага аддзялення 19-й пагранічнай групы пагранічнай службы, падпалкоўніка юстыцыі",,,,,,,,,,,
Сетунова Леаніда Юр’евіча,"старшага інспектара па асобых даручэннях упраўлення кадраў Міністэрства па надзвычайных сітуацыях, падпалкоўніка ўнутранай службы",,,,,,,,,,,
Сідарэнку Аляксандра Дзмітрыевіча,"намесніка начальніка ўпраўлення – начальніка аддзела вайсковай часці 1250 пагранічнай службы, палкоўніка",,,,,,,,,,,
Скрыпнікава Дзмітрыя Мікалаевіча,"старшага афіцэра аддзялення аддзела службы аператыўнага ўпраўлення 86-й пагранічнай групы пагранічнай службы, падпалкоўніка",,,,,,,,,,,
Смірнова Аляксея Генадзьевіча,"намесніка начальніка службы пагранічнага кантролю – начальніка аддзела арганізацыі пагранічнага кантролю аператыўнага ўпраўлення 14-га пагранічнага атрада пагранічнай службы, падпалкоўніка",,,,,,,,,,,
Стужынскага Дзмітрыя Антонавіча,"намесніка начальніка галоўнага ўпраўлення рэжыму і арганізацыйнага забеспячэння Дзяржаўнага пагранічнага камітэта, палкоўніка",,,,,,,,,,,
Транькова Аляксандра Уладзіміравіча,"намесніка начальніка пагранічнай групы – начальніка ўпраўлення матэрыяльна-тэхнічнага забеспячэння 19-й пагранічнай групы пагранічнай службы, палкоўніка",,,,,,,,,,,
Федаровіча Аляксандра Міхайлавіча,"начальніка аддзела галоўнага ўпраўлення матэрыяльна-тэхнічнага забеспячэння Дзяржаўнага пагранічнага камітэта, палкоўніка",,,,,,,,,,,
Хабарава Уладзіміра Аляксандравіча,"намесніка начальніка аддзела галоўнага ўпраўлення рэжыму і арганізацыйнага забеспячэння Дзяржаўнага пагранічнага камітэта, падпалкоўніка",,,,,,,,,,,
Хвасько Віктара Жоржавіча,"намесніка начальніка па ідэалагічнай рабоце і кадраваму забеспячэнню ўстановы ""Рэспубліканскі цэнтр тылавога забеспячэння"" Міністэрства па надзвычайных сітуацыях, падпалкоўніка ўнутранай службы",,,,,,,,,,,
Цвірко Яўгена Уладзіміравіча,"начальніка сектара галоўнага ўпраўлення матэрыяльна-тэхнічнага забеспячэння Дзяржаўнага пагранічнага камітэта, падпалкоўніка",,,,,,,,,,,
Юркевіч Тамару Іванаўну,"галоўнага спецыяліста цэнтралізаванай бухгалтэрыі пры Міністэрстве па надзвычайных сітуацыях, падпалкоўніка ўнутранай службы",,,,,,,,,,,
Акімава Мікалая Мікалаевіча,"намесніка Гродзенскага міжгарнізоннага ваеннага пракурора, маёра юстыцыі",,,,,,,,,,,
Аксюціча Эдуарда Рыгоравіча,"намесніка Брэсцкага міжгарнізоннага ваеннага пракурора, падпалкоўніка юстыцыі",,,,,,,,,,,
Алейніка Аляксандра Генадзьевіча,"галоўнага спецыяліста сектара сувязі і апавяшчэння ўстановы ""Мінскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", капітана ўнутранай службы",,,,,,,,,,,
Александрова Дзмітрыя Аляксандравіча,"начальніка службы артылерыйска-тэхнічнага забеспячэння аддзела ўзбраення ўпраўлення матэрыяльна-тэхнічнага забеспячэння 20-га пагранічнага атрада пагранічнай службы, маёра",,,,,,,,,,,
Аленскага Сяргея Сяргеевіча,"галоўнага спецыяліста аддзела арганізацыі навучання насельніцтва і прафесійнай падрыхтоўкі ўстановы ""Мінскае гарадское ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", падпалкоўніка ўнутранай службы",,,,,,,,,,,
Антонава Сяргея Анатольевіча,"старшыну ваеннага аркестра 16-й пагранічнай групы пагранічнай службы, старшага прапаршчыка",,,,,,,,,,,
Антоніка Уладзіміра Уладзіміравіча,"Баранавіцкага міжгарнізоннага ваеннага пракурора, палкоўніка юстыцыі",,,,,,,,,,,
Анціпенку Дзмітрыя Анатольевіча,"старшага інжынера-інспектара ўпраўлення аварыйна-выратавальных службаў і ліквідацыі надзвычайных сітуацый Міністэрства па надзвычайных сітуацыях, капітана ўнутранай службы",,,,,,,,,,,
Аскеру Аляксандра Уладзіміравіча,"камандзіра аддзялення пажарнага аварыйна-выратавальнага паста № 12 Бешанковіцкага раённага аддзела па надзвычайных сітуацыях установы ""Віцебскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", прапаршчыка ўнутранай службы",,,,,,,,,,,
Асташова Сяргея Аляксандравіча,"старшага вадзіцеля-выратавальніка пажарна-выратавальнай службы дзяржаўнай пажарнай аварыйна-выратавальнай установы ""Рэспубліканскі атрад спецыяльнага прызначэння"" Міністэрства па надзвычайных сітуацыях, старшага прапаршчыка ўнутранай службы",,,,,,,,,,,
Бабічава Андрэя Паўлавіча,"начальніка пажарнай аварыйна-выратавальнай часці № 3 пажарнага аварыйна-выратавальнага атрада № 6 Магілёўскага гарадскога аддзела па надзвычайных сітуацыях установы ""Магілёўскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", капітана ўнутранай службы",,,,,,,,,,,
Багамолаву Ірыну Аляксандраўну,"начальніка аддзела кадраў і ідэалагічнай работы пракуратуры Віцебскай вобласці, саветніка юстыцыі",,,,,,,,,,,
Барана Аляксандра Аркадзьевіча,"начальніка службы інжынернага абсталявання граніцы аддзела інжынернага забеспячэння службы аховы дзяржаўнай граніцы аператыўнага ўпраўлення 15-й пагранічнай групы пагранічнай службы, капітана",,,,,,,,,,,
Баранава Аляксандра Іванавіча,"галоўнага інспектара аператыўна-дзяжурнага аддзела мытні ""Мінск-2""",,,,,,,,,,,
Барткевіч Ірыну Рыгораўну,"галоўнага спецыяліста ўпраўлення фінансавай і эканамічнай работы Міністэрства па надзвычайных сітуацыях, маёра ўнутранай службы",,,,,,,,,,,
Барысенку Аляксандра Уладзіміравіча,"старшага інструктара-вадзіцеля цэнтра падрыхтоўкі вадзіцеляў дзяржаўнай установы адукацыі ""Гомельскі інжынерны інстытут"" Міністэрства па надзвычайных сітуацыях, прапаршчыка ўнутранай службы",,,,,,,,,,,
Бастрыкава Алега Аляксандравіча,"начальніка аддзела па рабоце з кадрамі і ідэалагічнай рабоце пракуратуры Гомельскай вобласці, старшага саветніка юстыцыі",,,,,,,,,,,
Безабразаву Святлану Рыгораўну,"старшага спецыяліста спецыяльнай сувязі паста спецыяльнай сувязі цэнтра спецыяльнай сувязі вузла сувязі 86-й пагранічнай групы пагранічнай службы, старшага прапаршчыка",,,,,,,,,,,
Белазорава Аляксандра Мікалаевіча,"старшага пракурора аддзела пракуратуры Магілёўскай вобласці па нагляду за законнасцю судовых пастаноў па крымінальных справах, саветніка юстыцыі",,,,,,,,,,,
Белянкова Андрэя Аляксандравіча,"начальніка аператыўна-сітуацыйнага аддзялення аператыўнага ўпраўлення 16-й пагранічнай групы пагранічнай службы, падпалкоўніка",,,,,,,,,,,
Беспалага Аляксандра Алегавіча,"пракурора Фрунзенскага раёна г. Мінска, старшага саветніка юстыцыі",,,,,,,,,,,
Більмона Яўгенія Вітольдавіча,"старшага пажарнага пажарнай аварыйна-выратавальнай часці № 1 Ашмянскага раённага аддзела па надзвычайных сітуацыях установы ""Гродзенскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", прапаршчыка ўнутранай службы",,,,,,,,,,,
Благуна Генадзія Іванавіча,"пракурора Ваўкавыскага раёна Гродзенскай вобласці, старшага саветніка юстыцыі",,,,,,,,,,,
Богдана Аляксандра Мікалаевіча,"старшага тэхніка – начальніка аддзялення мабільнай пагранічнай заставы 15-й пагранічнай групы пагранічнай службы, старшага прапаршчыка",,,,,,,,,,,
Богдана Аляксандра Канстанцінавіча,"камандзіра аддзялення пажарнай аварыйна-выратавальнай часці № 1 Лунінецкага раённага аддзела па надзвычайных сітуацыях установы ""Брэсцкае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", прапаршчыка ўнутранай службы",,,,,,,,,,,
Брагінца Андрэя Іванавіча,"начальніка аддзела кадраў установы ""Мінскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", падпалкоўніка ўнутранай службы",,,,,,,,,,,
Будзько Віктара Браніслававіча,"начальніка аддзела камплектавання і ўліку асабовага складу ўпраўлення ідэалагічнай работы і кадравага забеспячэння 15-й пагранічнай групы пагранічнай службы, падпалкоўніка",,,,,,,,,,,
Булюхіна Аляксандра Сяргеевіча,"вадзіцеля аддзела арганізацыі рамонту, абслугоўвання і эксплуатацыі тэхнічных сродкаў установы ""Рэспубліканскі цэнтр тылавога забеспячэння"" Міністэрства па надзвычайных сітуацыях, прапаршчыка ўнутранай службы",,,,,,,,,,,
Буняка Віталія Міхайлавіча,"намесніка начальніка па дзяржаўнаму пажарнаму нагляду Капыльскага раённага аддзела па надзвычайных сітуацыях установы ""Мінскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", маёра ўнутранай службы",,,,,,,,,,,
Бурдука Сяргея Міхайлавіча,"намесніка начальніка па дзяржаўнаму пажарнаму нагляду Зэльвенскага раённага аддзела па надзвычайных сітуацыях установы ""Гродзенскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", маёра ўнутранай службы",,,,,,,,,,,
Бутрыма Алега Анатольевіча,"начальніка Жабінкаўскага раённага аддзела па надзвычайных сітуацыях установы ""Брэсцкае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", падпалкоўніка ўнутранай службы",,,,,,,,,,,
Буцько Міхаіла Уладзіміравіча,"начальніка аддзялення аддзела службы аператыўнага ўпраўлення 18-га пагранічнага атрада пагранічнай службы, падпалкоўніка",,,,,,,,,,,
Быкаву Ірыну Валянцінаўну,"старшага афіцэра аддзела вайсковай часці 1250 пагранічнай службы, лейтэнанта",,,,,,,,,,,
Ваданосаву Нелі Іосіфаўну,старшага інспектара аддзела збору і апрацоўкі мытнай інфармацыі Мінскай цэнтральнай мытні,,,,,,,,,,,
Вакуліча Алега Рыгоравіча,"намесніка начальніка Пінскага цэнтра дзяржаўнай пажарнай аварыйна-выратавальнай установы ""Рэспубліканскі атрад спецыяльнага прызначэння"" Міністэрства па надзвычайных сітуацыях, падпалкоўніка ўнутранай службы",,,,,,,,,,,
Вакульчыка Аляксандра Віктаравіча,"намесніка начальніка аддзела нагляду і прафілактыкі ўстановы ""Мінскае гарадское ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", падпалкоўніка ўнутранай службы",,,,,,,,,,,
Валынца Васілія Мікалаевіча,"старшага пажарнага пажарнай аварыйна-выратавальнай часці № 1 Міёрскага раённага аддзела па надзвычайных сітуацыях установы ""Віцебскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", прапаршчыка ўнутранай службы",,,,,,,,,,,
Віткоўскага Вячаслава Станіслававіча,"намесніка начальніка аддзела арганізацыі функцыянавання запасных пунктаў кіравання грамадзянскай абароны дзяржаўнай установы ""Рэспубліканскі цэнтр кіравання і рэагавання на надзвычайныя сітуацыі Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", падпалкоўніка ўнутранай службы",,,,,,,,,,,
Войціка Сяргея Фёдаравіча,"намесніка начальніка ўстановы ""Брэсцкае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", падпалкоўніка ўнутранай службы",,,,,,,,,,,
Волкаву Ірыну Васільеўну,"старшага афіцэра аддзялення кадраў аддзела кадраў і ўліку асабовага складу ўпраўлення ідэалагічнай работы і кадравага забеспячэння дзяржаўнай установы адукацыі ""Інстытут пагранічнай службы Рэспублікі Беларусь"", лейтэнанта",,,,,,,,,,,
Волчыка Дзмітрыя Мікалаевіча,"старшага пажарнага пажарнай аварыйна-выратавальнай часці № 2 Маскоўскага раёна Брэсцкага гарадскога аддзела па надзвычайных сітуацыях установы ""Брэсцкае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", старшыну ўнутранай службы",,,,,,,,,,,
Вышэдка Карыну Эдуардаўну,"галоўнага эканаміста ўпраўлення фінансавай і эканамічнай работы Міністэрства па надзвычайных сітуацыях, маёра ўнутранай службы",,,,,,,,,,,
Вярэніча Аляксандра Міхайлавіча,"старшага кантралёра аддзялення пагранічнага кантролю аддзела пагранічнага кантролю атрада пагранічнага кантролю ""Мінск"" пагранічнай службы, старшага прапаршчыка",,,,,,,,,,,
Галамаку Ігара Мікалаевіча,"камандзіра аддзялення пажарнай аварыйна-выратавальнай часці № 1 Глускага раённага аддзела па надзвычайных сітуацыях установы ""Магілёўскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", прапаршчыка ўнутранай службы",,,,,,,,,,,
Галенкова Уладзіміра Уладзіміравіча,"пракурора Бярэзінскага раёна Мінскай вобласці, саветніка юстыцыі",,,,,,,,,,,
Гапоненку Міхаіла Іванавіча,"намесніка начальніка па службе, падрыхтоўцы і пажаратушэнню пажарнага аварыйна-выратавальнага атрада № 3 Рэчыцкага раённага аддзела па надзвычайных сітуацыях установы ""Гомельскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", маёра ўнутранай службы",,,,,,,,,,,
Гарбузава Аляксандра Віктаравіча,"вадзіцеля цэнтра падрыхтоўкі вадзіцеляў дзяржаўнай установы адукацыі ""Гомельскі інжынерны інстытут"" Міністэрства па надзвычайных сітуацыях, прапаршчыка ўнутранай службы",,,,,,,,,,,
Гаркаўца Аляксандра Станіслававіча,"старшага афіцэра аддзела вайсковай часці 1250, капітана",,,,,,,,,,,
Гарыцкага Канстанціна Уладзіміравіча,"намесніка аператыўнага дзяжурнага аддзела кіравання сіламі і сродкамі дзяржаўнай установы ""Рэспубліканскі цэнтр кіравання і рэагавання на надзвычайныя сітуацыі Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", падпалкоўніка ўнутранай службы",,,,,,,,,,,
Гаўрыленка Ірыну Цімафееўну,"старшага пракурора аддзела нагляднай вытворчасці ўпраўлення Генеральнай пракуратуры па нагляду за законнасцю судовых пастаноў па крымінальных справах, саветніка юстыцыі",,,,,,,,,,,
Герашчанку Мікалая Мікалаевіча,"старшага памочніка пракурора г. Мінска па нагляду за законнасцю выканання крымінальных пакаранняў, саветніка юстыцыі",,,,,,,,,,,
Глушчанку Руслана Уладзіміравіча,"старшага выратавальніка-вадалаза цэнтра вадалазна-выратавальнай службы дзяржаўнай пажарнай аварыйна-выратавальнай установы ""Рэспубліканскі атрад спецыяльнага прызначэння"" Міністэрства па надзвычайных сітуацыях, прапаршчыка ўнутранай службы",,,,,,,,,,,
Голубева Аляксандра Валер’евіча,"галоўнага спецыяліста цэнтра выпрабаванняў установы ""Навукова-даследчы інстытут пажарнай бяспекі і праблем надзвычайных сітуацый"" Міністэрства па надзвычайных сітуацыях, падпалкоўніка ўнутранай службы",,,,,,,,,,,
Гонтарава Андрэя Анатольевіча,"начальніка аддзела матэрыяльна-тэхнічнага забеспячэння і будаўніцтва ўстановы ""Навукова-даследчы інстытут пажарнай бяспекі і праблем надзвычайных сітуацый"" Міністэрства па надзвычайных сітуацыях, падпалкоўніка ўнутранай службы",,,,,,,,,,,
Гормаша Сяргея Сяргеевіча,"першага намесніка начальніка Акцябрскага раённага аддзела па надзвычайных сітуацыях установы ""Гомельскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", маёра ўнутранай службы",,,,,,,,,,,
Грамузава Аляксандра Аркадзьевіча,"вадзіцеля пажарнай аварыйна-выратавальнай часці № 1 Сенненскага раённага аддзела па надзвычайных сітуацыях установы ""Віцебскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", старшыну ўнутранай службы",,,,,,,,,,,
Грыбко Сяргея Мікалаевіча,"камандзіра аддзялення пажарнай аварыйна-выратавальнай часці № 1 Чэрвеньскага раённага аддзела па надзвычайных сітуацыях установы ""Мінскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", прапаршчыка ўнутранай службы",,,,,,,,,,,
Грыня Віталія Васільевіча,"старшага пажарнага пажарнай аварыйна-выратавальнай часці № 5 Чыгуначнага раёна Гомельскага гарадскога аддзела па надзвычайных сітуацыях установы ""Гомельскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", старшыну ўнутранай службы",,,,,,,,,,,
Грышчанку Аляксандра Аляксандравіча,"начальніка сектара арганізацыі функцыянавання дзяржаўнай сістэмы папярэджвання і ліквідацыі надзвычайных сітуацый і грамадзянскай абароны Мазырскага гаррайаддзела па надзвычайных сітуацыях установы ""Гомельскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", падпалкоўніка ўнутранай службы",,,,,,,,,,,
Грэфа Віталія Канстанцінавіча,"старшага пажарнага пажарнай аварыйна-выратавальнай часці № 2 Магілёўскага гарадскога аддзела па надзвычайных сітуацыях установы ""Магілёўскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", прапаршчыка ўнутранай службы",,,,,,,,,,,
Гульмантовіча Анжэя Славаміравіча,"намесніка начальніка аддзела вучэбнай работы – начальніка аддзялення планавання вучэбнага працэсу вучэбна-метадычнага ўпраўлення дзяржаўнай установы адукацыі ""Інстытут пагранічнай службы Рэспублікі Беларусь"", маёра",,,,,,,,,,,
Гуляшку Уладзіміра Іосіфавіча,"намесніка начальніка па ідэалагічнай рабоце і кадраваму забеспячэнню Глыбоцкага раённага аддзела па надзвычайных сітуацыях установы ""Віцебскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", маёра ўнутранай службы",,,,,,,,,,,
Дайлідку Уладзіміра Рышардавіча,"вадзіцеля пажарнага аварыйна-выратавальнага паста № 12 Воранаўскага раённага аддзела па надзвычайных сітуацыях установы ""Гродзенскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", старшыну ўнутранай службы",,,,,,,,,,,
Дарасевіч Таццяну Віктараўну,"дыспетчара цэнтра аператыўнага кіравання дзяржаўнай пажарнай аварыйна-выратавальнай установы ""Рэспубліканскі атрад спецыяльнага прызначэння"" Міністэрства па надзвычайных сітуацыях, прапаршчыка ўнутранай службы",,,,,,,,,,,
Дарашкевіча Вадзіма Міхайлавіча,"намесніка начальніка аддзела сувязі і інфармацыйных тэхналогій – начальніка аддзялення сувязі і тэхнічнай абароны інфармацыі ўпраўлення рэжыму і арганізацыйнага забеспячэння 16-й пагранічнай групы пагранічнай службы, падпалкоўніка",,,,,,,,,,,
Дароўка Валянціну Уладзіміраўну,"начальніка склада 14-га пагранічнага атрада пагранічнай службы, старшага прапаршчыка",,,,,,,,,,,
Даўлюда Аляксандра Аляксандравіча,"начальніка службы артылерыйска-тэхнічнага забеспячэння аддзела ўзбраення ўпраўлення матэрыяльна-тэхнічнага забеспячэння 18-га пагранічнага атрада пагранічнай службы, маёра",,,,,,,,,,,
Драпко Міхаіла Уладзіміравіча,"начальніка Кастрычніцкага раённага аддзела па надзвычайных сітуацыях установы ""Мінскае гарадское ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", падпалкоўніка ўнутранай службы",,,,,,,,,,,
Дробава Аляксандра Аляксандравіча,"старшага інструктара па ваджэнні пажарнай машыны пажарнай аварыйна-выратавальнай часці № 5 Кастрычніцкага раённага аддзела па надзвычайных сітуацыях установы ""Мінскае гарадское ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", старшага прапаршчыка ўнутранай службы",,,,,,,,,,,
Ермаковіча Анатоля Анатольевіча,"намесніка начальніка па ідэалагічнай рабоце і кадраваму забеспячэнню Жыткавіцкага раённага аддзела па надзвычайных сітуацыях установы ""Гомельскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", падпалкоўніка ўнутранай службы",,,,,,,,,,,
